syn1	syn2
00043902-n	01400044-v
00043902-n	01405044-v
00046534-v	00043683-v
00046534-v	03236735-n
00047172-v	03497657-n
00047745-v	00052374-v
00047745-v	00056930-v
00047945-v	00046534-v
00047534-r	00029037-r
00047903-r	00048138-r
00047903-r	00065822-r
00048138-r	00047903-r
00048138-r	00065822-r
00048475-r	00049102-r
00048475-r	00049220-r
00048475-r	00049433-r
00048475-r	15119919-n
00048739-r	00049433-r
00049102-r	00048475-r
00049102-r	00048739-r
00049102-r	00049220-r
00049102-r	00049433-r
00049220-r	00048475-r
00049220-r	00048739-r
00049220-r	00049102-r
00049220-r	00049433-r
00049433-r	00048475-r
00049433-r	00048739-r
00049433-r	00049102-r
00049433-r	00049220-r
00049433-r	15119919-n
00050681-r	02268485-a
00050681-r	07205104-n
00052043-v	04097866-n
00051192-n	02004874-v
00052374-v	00047745-v
00051848-r	00058128-r
00053004-r	00053152-r
00053152-r	00053004-r
00053152-r	02081114-a
00054212-r	00127948-a
00054212-r	01294975-a
00054950-r	01126291-a
00056930-v	00668099-v
00056930-v	02203362-v
00056930-v	02204692-v
00057388-r	00057257-r
00057657-n	00314469-n
00058033-r	00032299-r
00058033-r	00205052-r
00058033-r	08625073-n
00058128-r	00051848-r
00059607-r	00230335-a
00059607-r	00231761-a
00059895-n	02096494-v
00061528-r	00061677-r
00061677-r	00061528-r
00061677-r	00171135-r
00063652-n	07319103-n
00063652-n	14474894-n
00065070-v	00668099-v
00064787-a	01123148-a
00065370-v	02108026-v
00065370-v	02203362-v
00065639-v	02203362-v
00065639-v	02630189-v
00064789-n	08517449-n
00065748-r	01013279-a
00065822-r	00047903-r
00066781-r	00067265-r
00067379-a	00231761-a
00067638-a	00011093-r
00067707-n	15236859-n
00069295-v	13549672-n
00069879-v	14298815-n
00069948-a	02991122-a
00070166-r	00229399-r
00071165-r	00071601-r
00071456-r	02040652-a
00071741-r	00071601-r
00071741-r	00071840-r
00071840-r	00007015-r
00072329-r	00071165-r
00072329-r	00071840-r
00074201-r	00075161-r
00074201-r	00075367-r
00074407-r	00074201-r
00074407-r	00075161-r
00074407-r	00075269-r
00074407-r	00075367-r
00074407-r	00197576-a
00074407-r	04059701-n
00074407-r	05558717-n
00074407-r	08625846-n
00074641-r	00103859-r
00074641-r	00203237-a
00075161-r	00074201-r
00075161-r	00074407-r
00075161-r	00075269-r
00075161-r	00075367-r
00075161-r	00197576-a
00075161-r	01997512-v
00075161-r	02556817-v
00075161-r	04059701-n
00075161-r	05558717-n
00075269-r	00074407-r
00075269-r	00075161-r
00075269-r	00075367-r
00075269-r	04059701-n
00075269-r	05558717-n
00075367-r	00075161-r
00075367-r	00075269-r
00075367-r	00197576-a
00075367-r	05558717-n
00076884-n	01972298-v
00084223-r	00502710-r
00086000-r	00976508-a
00087454-v	01808374-v
00087736-v	02210855-v
00087423-n	13266892-n
00089351-n	00959524-v
00091332-r	00744916-a
00091332-r	01155354-a
00091678-r	00744916-a
00091964-r	01155354-a
00094460-v	00125841-v
00094460-v	00545557-v
00094460-v	02005948-v
00095320-r	00095612-r
00095320-r	00095841-r
00095320-r	01896561-n
00095320-r	02491961-a
00095280-a	00099874-a
00095280-a	02432154-a
00095280-a	07945657-n
00095612-r	00095320-r
00095612-r	01103336-v
00095612-r	02491961-a
00096333-r	00186925-a
00096333-r	02490170-a
00097504-n	06891493-n
00097840-r	03259505-n
00097840-r	08490199-n
00097840-r	08559508-n
00098714-r	00018302-r
00099721-v	00624738-n
00099341-r	00099712-r
00099341-r	01555133-a
00099341-r	01556355-a
00099527-r	00099868-r
00099527-r	01555416-a
00099712-r	00099341-r
00099712-r	01555133-a
00100551-v	00575741-n
00100551-v	00624738-n
00100551-v	00894552-n
00099868-r	00099527-r
00099868-r	01555416-a
00100002-r	01391351-a
00100002-r	01554510-a
00100267-r	00816481-a
00100592-r	00812952-a
00100681-r	00100082-r
00100681-r	00812952-a
00101051-r	00101323-r
00101051-r	00442361-a
00101051-r	01434717-a
00101201-r	00101323-r
00101323-r	00101051-r
00101323-r	00101490-r
00101323-r	00442361-a
00101490-r	00101051-r
00101490-r	00101323-r
00101490-r	00442361-a
00101752-r	00172710-n
00101752-r	04928903-n
00102736-r	00103554-r
00102736-r	01010862-a
00102736-r	02202047-a
00102736-r	13846199-n
00102881-r	02202146-a
00103554-r	00102736-r
00103554-r	00506928-r
00103554-r	01010862-a
00103554-r	02202047-a
00103554-r	13846199-n
00104003-r	01037763-a
00104345-r	00104661-r
00104661-r	00104345-r
00104539-n	01508368-v
00105958-v	00715239-v
00105958-v	01210352-v
00105958-v	01771535-v
00105958-v	02106006-v
00105958-v	02730471-v
00105958-v	05677340-n
00105958-v	14526182-n
00105162-r	00205226-r
00105162-r	02031986-a
00105162-r	05174653-n
00106020-a	00522885-a
00106020-a	00523364-a
00106020-a	01123148-a
00108479-r	00108647-r
00108479-r	00108773-r
00108647-r	00108479-r
00108647-r	00108773-r
00109660-v	00126264-v
00109660-v	00191142-n
00109660-v	07296428-n
00109660-v	13859043-n
00108773-r	00108479-r
00108773-r	00108647-r
00109151-r	00109328-r
00109151-r	00109461-r
00109328-r	00109151-r
00109461-r	00109151-r
00110533-r	00110815-r
00110659-r	01692222-a
00111609-r	00112009-r
00111609-r	01555732-a
00111609-r	01557120-a
00112009-r	00111609-r
00112009-r	01555732-a
00112009-r	01557120-a
00112312-n	01871979-v
00112601-r	01640850-a
00113082-r	00046002-r
00113818-a	00304144-a
00115554-r	00018302-r
00117346-v	02107248-v
00116510-r	00116994-r
00116510-r	00507927-r
00116588-r	00116791-r
00117985-v	01857392-v
00117985-v	02637202-v
00117985-v	02637592-v
00117985-v	02727462-v
00117985-v	02731024-v
00116994-r	00116510-r
00118363-r	00146594-r
00118363-r	00146926-r
00118363-r	00147272-r
00118869-r	00118965-r
00118869-r	00181342-r
00118965-r	00118869-r
00120316-v	00012267-v
00120316-v	00149583-v
00120316-v	00730758-v
00120316-v	00770437-v
00120316-v	01617192-v
00120316-v	01621555-v
00120316-v	01640207-v
00120316-v	01645601-v
00120316-v	01646075-v
00120316-v	02289295-v
00120316-v	02396716-v
00120316-v	02560585-v
00120316-v	02674708-v
00120675-v	01732172-v
00120796-v	00149583-v
00120796-v	00522751-v
00120796-v	00770437-v
00120796-v	01153947-v
00120796-v	01433294-v
00120796-v	01733477-v
00120796-v	02005948-v
00120796-v	02108026-v
00120796-v	02203362-v
00120796-v	02204692-v
00120796-v	02210855-v
00120796-v	02378453-v
00120796-v	02630189-v
00121046-v	00120796-v
00121046-v	02203362-v
00121046-v	02630189-v
00120095-r	00120223-r
00120223-r	00120095-r
00121135-r	00043003-r
00121135-r	00146594-r
00123170-v	00436879-v
00123170-v	02661252-v
00123170-v	07296428-n
00123170-v	11412727-n
00122661-n	04205759-n
00124442-v	01649999-v
00125841-v	00094460-v
00125841-v	00230746-v
00125841-v	01907258-v
00126264-v	00109660-v
00126264-v	00123170-v
00126264-v	07296428-n
00126264-v	11412727-n
00126264-v	13859043-n
00125629-n	01400044-v
00125629-n	01405044-v
00127286-n	00560529-n
00127286-n	01113473-v
00127815-a	00127948-a
00127948-a	00054212-r
00127948-a	00127815-a
00127948-a	00447472-a
00128867-n	01401772-v
00131692-a	00197576-a
00132601-n	00493460-a
00132601-n	01409374-v
00132756-n	01409523-v
00135857-v	01618547-v
00136991-v	00613683-v
00136991-v	02729414-v
00137313-v	02677097-v
00136329-n	01936233-v
00136185-a	00632438-a
00136469-r	00136561-r
00138508-v	00146138-v
00138221-n	01431230-v
00140403-r	00038625-r
00142191-v	00701040-v
00142665-n	13853808-n
00143251-n	05747582-n
00145902-v	02774152-n
00144722-r	00336831-a
00144722-r	02094633-a
00146138-v	00138508-v
00146138-v	01907258-v
00146138-v	13869327-n
00145713-r	05115568-n
00146387-r	00019339-r
00146387-r	00212604-r
00146594-r	00118363-r
00146594-r	00121135-r
00146594-r	00146926-r
00146594-r	00147126-r
00146594-r	00147272-r
00147815-v	00756919-n
00147815-v	15236859-n
00146856-n	08307589-n
00146763-r	00146594-r
00146926-r	00118363-r
00146926-r	00146594-r
00146926-r	00147126-r
00146926-r	00147272-r
00147126-r	00118363-r
00147126-r	00146594-r
00147126-r	00147272-r
00147272-r	00146594-r
00147272-r	00146926-r
00147876-r	00749230-a
00149583-v	00120796-v
00149583-v	00359916-v
00149583-v	00522751-v
00149583-v	01433294-v
00149583-v	01505958-v
00149583-v	01835496-v
00149583-v	02005948-v
00149583-v	02108026-v
00149583-v	02210855-v
00149583-v	02372605-v
00149583-v	02626604-v
00149583-v	02721284-v
00149510-r	00037226-r
00150776-v	02712772-v
00150776-v	02720354-v
00150351-r	02031986-a
00152018-n	06885083-n
00153263-v	07356676-n
00153263-v	13497135-n
00153263-v	13754293-n
00154608-v	00252990-v
00155143-v	01968569-v
00155143-v	01983264-v
00155143-v	05110185-n
00154433-n	00665886-v
00155487-n	00027167-n
00156601-v	00153263-v
00156601-v	00363260-n
00156601-v	05108947-n
00156601-v	07356676-n
00156601-v	13754293-n
00155621-r	00041954-r
00157081-n	00701040-v
00157081-n	02536557-v
00157081-n	05194151-n
00157081-n	05692910-n
00158222-v	02292125-v
00158185-n	01158872-v
00157967-r	02249766-a
00158309-r	00002621-r
00158309-r	00004722-r
00158309-r	00033308-r
00158309-r	00246296-r
00158309-r	00368663-r
00158309-r	01369663-a
00161225-v	11409538-n
00161243-n	02342899-a
00161243-n	05790242-n
00162688-v	02257767-v
00162632-n	05838176-n
00165942-n	01835496-v
00165942-n	01850315-v
00167385-v	01889610-v
00166025-r	01433493-a
00166025-r	01437963-a
00167816-r	00047641-r
00169458-v	00109660-v
00168658-n	01855606-v
00171852-v	00545557-v
00171135-r	00061677-r
00173338-v	00599992-v
00173338-v	01842690-v
00173338-v	01999798-v
00173338-v	02236124-v
00173338-v	02267989-v
00172710-n	00415676-n
00172710-n	04564698-n
00172710-n	04928903-n
00172710-n	08679972-n
00172710-n	13939604-n
00173761-n	03574816-n
00181664-v	00428404-a
00181664-v	01622505-a
00180756-r	00181075-r
00182406-v	01027174-v
00181342-r	00118869-r
00181342-r	00118965-r
00182213-n	00183505-n
00183879-v	00684838-v
00183879-v	02632940-v
00183505-n	00182213-n
00183505-n	02461314-v
00183505-n	02462386-v
00185509-a	01652902-a
00185509-a	02425462-v
00185509-a	02426171-v
00188057-r	00188137-r
00188137-r	00227507-a
00189565-n	01926311-v
00189565-n	07460104-n
00191142-n	00126264-v
00191142-n	07296428-n
00191142-n	13859043-n
00192613-n	00093483-n
00192613-n	08366753-n
00193486-v	02309008-v
00195342-v	01622505-a
00195617-v	00428404-a
00194578-r	00186142-r
00196203-r	00205052-r
00197576-a	00074407-r
00197576-a	00075161-r
00197576-a	00075269-r
00197576-a	05558717-n
00197576-a	08625846-n
00197891-a	08625846-n
00198147-a	03398467-n
00198147-a	05940302-n
00198147-a	08573472-n
00199659-v	05565337-n
00202341-r	00039058-r
00203866-v	14422488-n
00203237-a	00074641-r
00205046-v	00205885-v
00204125-r	00632438-a
00205885-v	00205046-v
00205052-r	00105162-r
00205052-r	02031986-a
00205052-r	05174653-n
00205052-r	08625073-n
00207366-r	15262921-n
00208557-r	00112393-r
00211651-r	00049947-r
00212604-r	00146387-r
00214951-v	02547317-a
00214951-v	14535431-n
00218475-v	00219403-v
00218475-v	02551380-a
00219403-v	00218475-v
00219012-n	07361576-n
00222180-r	00221985-r
00223854-n	01322854-v
00228236-v	14845743-n
00227507-a	00188137-r
00229026-v	00475183-v
00228294-a	01010862-a
00228294-a	02202047-a
00230746-v	00125841-v
00230746-v	02624263-v
00230335-a	00059607-r
00230335-a	00067379-a
00230335-a	00231761-a
00230335-a	00509846-r
00231557-v	00125841-v
00231557-v	00230746-v
00231557-v	00245457-v
00231761-a	00059607-r
00231761-a	00230335-a
00233203-v	00429060-v
00233335-v	05124057-n
00232936-r	00233295-r
00232936-r	00234052-r
00232936-r	00234747-r
00233295-r	00232936-r
00233295-r	00235254-r
00233295-r	01847864-a
00234052-r	00232936-r
00235368-v	05124057-n
00234553-r	00233295-r
00235435-n	02014165-v
00235435-n	07290905-n
00234747-r	00232936-r
00235254-r	00232936-r
00235254-r	01651469-a
00235438-r	00234052-r
00236592-v	00233335-v
00237877-v	00429060-v
00240810-v	02607830-v
00241699-n	01075164-v
00241699-n	07325190-n
00241952-a	00392812-a
00243180-a	00393105-a
00243180-a	09638875-n
00245200-a	00409440-a
00245457-v	00231557-v
00246296-r	00002621-r
00246296-r	00004722-r
00246296-r	00033308-r
00246296-r	00158309-r
00248977-n	07357388-n
00250259-n	13464820-n
00250259-n	13489037-n
00250259-n	14422871-n
00252019-v	00545557-v
00252019-v	01738774-v
00252990-v	01654628-v
00252990-v	04998530-n
00254614-r	01010862-a
00255710-n	01535246-v
00258665-v	02570684-v
00258665-v	07316856-n
00260648-v	00266806-n
00266806-n	00260648-v
00269989-a	04951373-n
00273082-a	00245200-a
00273082-a	00409440-a
00273082-a	01131935-a
00273082-a	08646306-n
00273082-a	13983515-n
00273752-r	01900771-a
00275572-n	00276813-n
00276068-v	01617192-v
00276883-v	00746718-v
00276813-n	00275572-n
00279835-n	00331950-n
00279835-n	07309781-n
00282050-n	07445265-n
00283568-n	01904930-v
00283911-v	00394135-a
00284665-n	05563266-n
00284798-n	01904930-v
00285557-n	13757249-n
00286008-v	00286605-v
00286008-v	15052970-n
00286605-v	00286008-v
00286837-a	10256756-n
00291873-v	01186408-a
00292937-a	00035978-a
00293916-n	01926311-v
00294245-v	11669335-n
00294579-a	00981304-a
00298896-v	00625699-n
00302394-n	08220534-n
00303465-v	00303661-v
00306017-v	00306723-v
00306017-v	01964634-v
00305570-r	01873163-a
00305821-r	00816481-a
00306663-a	00001740-a
00306723-v	00306017-v
00306900-n	07006712-n
00307631-n	01930117-v
00307631-n	01957529-v
00308720-a	01608656-a
00309310-v	00306017-v
00309647-n	08409130-n
00309740-a	00336831-a
00310063-n	00945777-n
00310433-a	01795933-a
00312691-n	13939604-n
00312932-n	01846658-v
00315986-n	01435380-v
00315986-n	01855155-v
00318816-v	04336645-n
00319939-n	02001858-v
00322847-v	01664172-v
00323908-r	08682819-n
00328015-n	02004874-v
00328502-n	01870275-v
00329819-n	11454591-n
00330506-a	08523483-n
00334186-v	00258665-v
00334186-v	09278537-n
00334935-n	01229976-v
00334996-v	00334186-v
00334996-v	00364064-v
00335421-a	00700884-a
00336260-v	13907272-n
00336430-n	00898434-v
00336831-a	00144722-r
00336831-a	00309740-a
00336831-a	00340239-a
00336831-a	00700884-a
00338641-n	00383390-n
00339934-v	00344643-v
00339934-v	01992503-v
00339934-v	02593912-v
00339934-v	02684924-v
00341560-v	01835496-v
00341917-v	00542120-v
00341917-v	01849221-v
00341917-v	02005948-v
00341917-v	02625339-v
00341917-v	02743565-v
00342812-v	01849221-v
00342812-v	02625339-v
00343334-v	02595662-v
00344174-v	00339934-v
00344040-n	01010025-a
00344643-v	00339934-v
00345312-v	02658734-v
00345652-v	00357998-v
00345761-v	00348746-v
00345761-v	01628449-v
00345761-v	01864230-v
00345761-v	02608347-v
00345761-v	07325190-n
00345761-v	15265518-n
00346095-n	07352190-n
00346532-n	01907258-v
00348746-v	00345761-v
00348746-v	02014165-v
00348746-v	07325190-n
00349894-a	01579128-a
00352419-v	02015598-v
00352826-v	02735418-v
00352826-v	05868477-n
00352826-v	08566028-n
00352826-v	15266911-n
00355038-v	01323958-v
00355611-a	01411065-a
00355611-a	02062670-a
00355611-a	02068476-a
00357023-n	01447868-v
00356926-a	04731497-n
00356926-a	05849789-n
00357998-v	13165086-n
00356957-r	01204557-a
00358135-v	13125117-n
00359916-v	01835496-v
00359916-v	02685951-v
00360092-v	02009433-v
00361192-n	13311368-n
00362348-v	01860795-v
00364064-v	00334996-v
00364064-v	00933821-v
00364064-v	01106864-v
00366393-r	00132060-r
00368663-r	00368287-r
00369941-a	04966240-n
00371264-v	05725527-n
00374135-v	00078138-v
00375021-v	00374668-v
00375071-n	05038593-n
00377002-v	02768874-v
00377002-v	14290534-n
00378664-v	01135783-v
00378664-v	02120451-v
00381097-a	00395626-a
00382635-v	00381601-v
00384292-a	14805899-n
00385756-a	01640729-a
00387310-v	00089351-n
00387310-v	02004874-v
00387392-a	00283327-a
00389310-a	01645678-a
00389310-a	04961691-n
00391672-v	00806512-a
00392812-a	04960277-n
00393105-a	04960729-n
00394135-a	04956594-n
00394813-v	00556193-v
00395626-a	00381097-a
00403385-a	00690058-a
00406243-v	01664172-v
00407535-n	14006945-n
00408660-a	01906464-a
00408660-a	04951373-n
00408660-a	05018103-n
00409207-a	04974575-n
00409483-n	14008806-n
00409440-a	00245200-a
00409440-a	00273082-a
00409440-a	08646306-n
00409440-a	15167027-n
00410247-n	03178782-n
00410247-n	05930736-n
00410247-n	05938795-n
00409709-r	00444519-a
00409709-r	00446921-a
00409709-r	00505226-r
00409709-r	01346978-v
00413239-n	05667404-n
00413876-v	02694933-v
00414354-a	01535709-a
00415676-n	00172710-n
00415676-n	00312691-n
00415676-n	04928903-n
00415676-n	08679972-n
00415676-n	13777764-n
00417413-a	01532589-v
00422090-v	00425967-v
00422090-v	02133435-v
00422090-v	02134672-v
00423971-v	00426581-v
00425071-v	02133435-v
00425967-v	00422090-v
00425967-v	01721169-v
00425967-v	02133435-v
00428270-n	07020538-n
00428404-a	00195617-v
00429060-v	02258291-v
00430606-n	00456199-n
00430606-n	02152991-n
00431552-n	05682950-n
00431893-n	01722077-v
00431447-a	00195342-v
00433216-n	00523513-n
00434374-v	01799235-v
00438707-a	00205295-a
00438909-a	01744515-a
00442361-a	00101051-r
00442361-a	00101323-r
00442361-a	00101490-r
00442361-a	02032386-a
00442917-a	01413084-a
00443988-a	00029985-r
00444519-a	01345109-v
00444519-a	02053941-v
00445548-a	00450606-a
00447771-v	00355803-v
00446921-a	00409709-r
00446921-a	00451510-a
00446921-a	00558738-a
00446921-a	01345109-v
00446921-a	01346978-v
00447472-a	00054212-r
00447472-a	00127948-a
00449079-a	01731882-a
00451461-v	07942152-n
00452293-n	00622584-n
00451510-a	00446921-a
00451510-a	01346978-v
00452883-a	01123148-a
00455599-n	00456199-n
00455750-v	00520214-a
00455750-v	02563724-v
00456199-n	00430606-n
00456199-n	00455599-n
00457382-n	01907258-v
00458456-n	01413173-v
00459776-v	00460900-v
00462689-v	02451679-v
00462409-a	01184932-a
00465221-a	00435492-a
00466377-n	00916524-a
00466651-v	02629535-v
00467269-r	00017639-r
00468480-n	03378765-n
00475183-v	00229026-v
00478821-r	01003536-a
00478904-r	00478821-r
00484166-v	00520214-a
00484166-v	01750386-a
00485711-a	00492677-a
00485711-a	00970610-a
00486067-r	00080039-r
00486290-a	01594146-a
00487198-a	01101391-a
00487525-a	05924920-n
00488187-a	01104026-a
00488187-a	01104460-a
00488187-a	01853228-a
00488561-a	00017024-a
00489837-v	00647094-v
00489837-v	02704349-v
00490968-v	15270431-n
00490413-a	02070030-a
00492677-a	00485711-a
00492677-a	02152473-a
00493297-a	01861205-a
00493297-a	07965817-n
00493297-a	08179689-n
00493460-a	00007846-n
00493460-a	00132601-n
00493460-a	01409374-v
00493460-a	01768086-a
00493460-a	02153174-a
00493460-a	10203839-n
00494409-a	02065665-a
00494409-a	02268268-a
00495743-r	02560548-a
00503945-r	00070166-r
00504043-r	00048739-r
00504620-r	00010466-r
00505114-r	00004722-r
00505226-r	00409709-r
00505226-r	00446921-a
00505226-r	01447302-a
00506928-r	00102736-r
00506928-r	01009206-a
00506928-r	01010862-a
00506928-r	02202047-a
00510348-a	00001740-a
00510644-a	00834198-a
00510644-a	00839225-a
00510749-r	00031899-r
00510749-r	01839317-a
00513344-v	14785941-n
00515154-v	02514187-v
00514884-a	05869584-n
00515380-a	00010466-r
00515380-a	02244890-a
00515380-a	02645007-v
00515380-a	04353803-n
00515380-a	05861067-n
00517529-v	00791078-n
00517554-a	00007884-r
00517554-a	00524496-a
00517554-a	13736799-n
00519363-v	09282724-n
00520257-n	02148788-v
00520214-a	00484166-v
00521584-a	02269286-a
00522751-v	00087736-v
00522751-v	00120796-v
00522751-v	00149583-v
00522751-v	00715239-v
00522751-v	02005948-v
00522751-v	02108026-v
00522751-v	02128873-v
00522751-v	02210119-v
00522751-v	02210855-v
00522751-v	02248465-v
00522751-v	02285629-v
00523095-v	00524682-v
00523095-v	00624476-v
00522885-a	01083157-a
00524682-v	00624476-v
00524682-v	00632236-v
00524682-v	01982395-v
00524682-v	01999798-v
00524682-v	02109045-v
00524682-v	02394183-v
00524682-v	02599636-v
00524682-v	02627934-v
00524496-a	00517554-a
00524496-a	13736799-n
00526062-a	02560548-a
00529191-a	01415021-a
00539110-v	00341560-v
00539936-v	01346003-v
00539009-a	02410393-a
00541746-v	02054989-v
00542120-v	00341917-v
00542120-v	01849221-v
00542120-v	02005948-v
00542120-v	02625339-v
00543233-n	07020895-n
00543603-a	01515692-a
00545557-v	00252019-v
00545557-v	00411020-v
00548153-v	00959524-v
00549063-v	02075049-v
00549063-v	02242256-v
00550117-v	07296428-n
00554850-n	01790020-v
00556313-n	01072949-v
00556855-v	00120316-v
00557404-v	00523095-v
00557404-v	02267989-v
00557588-n	01072949-v
00558883-n	01926311-v
00560529-n	00127286-n
00572043-n	01124389-v
00574422-a	02030312-a
00574422-a	09957156-n
00575741-n	00584367-n
00575741-n	02410855-v
00575741-n	02413480-v
00575741-n	02525447-v
00575741-n	04599396-n
00575741-n	05755883-n
00575741-n	11453420-n
00575230-a	10256756-n
00576877-n	00584769-n
00577525-n	00584891-n
00577525-n	08186047-n
00579334-n	08185758-n
00579622-a	01382086-a
00582388-n	00576877-n
00582388-n	00719705-n
00582388-n	03599628-n
00582388-n	03599761-n
00582388-n	08061042-n
00583246-n	00282613-n
00584367-n	00575741-n
00584367-n	01217859-n
00584367-n	01668603-v
00584367-n	02410855-v
00584367-n	02413480-v
00584367-n	04599396-n
00584367-n	13968092-n
00584769-n	00719705-n
00584891-n	00577525-n
00584891-n	08186047-n
00586262-n	01494310-v
00588888-v	00591115-v
00588888-v	00593852-v
00589904-v	00120796-v
00589904-v	02210855-v
00591115-v	00588888-v
00591115-v	00598954-v
00591115-v	00690614-v
00591115-v	00728617-v
00591115-v	00920336-v
00591115-v	01635432-v
00591115-v	02023107-v
00591115-v	02128873-v
00591115-v	02129289-v
00591115-v	02488304-v
00591115-v	02488488-v
00591115-v	02493030-v
00592883-v	00594337-v
00592883-v	00594621-v
00592883-v	00728617-v
00592883-v	02193194-v
00593852-v	00588888-v
00593852-v	00591115-v
00594337-v	00592883-v
00594337-v	00594621-v
00594337-v	00595630-v
00594337-v	00595935-v
00594337-v	00596644-v
00594621-v	00592883-v
00594621-v	00594337-v
00594621-v	00595630-v
00594621-v	00595935-v
00594621-v	00596644-v
00594267-a	02111095-a
00595630-v	00594337-v
00595630-v	00594621-v
00595630-v	00595935-v
00595630-v	00596644-v
00595935-v	00594337-v
00595935-v	00594621-v
00595935-v	00595630-v
00595935-v	00596644-v
00596132-v	00594621-v
00596644-v	00594337-v
00596644-v	00594621-v
00596644-v	00595630-v
00596644-v	00595935-v
00596644-v	05758059-n
00596644-v	05984584-n
00597915-v	00598954-v
00597915-v	00604576-v
00598954-v	00591115-v
00598954-v	00597915-v
00598954-v	00604576-v
00598954-v	00690614-v
00598954-v	00918872-v
00598954-v	00920336-v
00598954-v	02107442-v
00598954-v	02129289-v
