syn1	syn2	Freq
v:motion	v:motion	157
v:motion	v:perception	11
v:motion	v:possession	23
v:motion	v:social	23
v:motion	v:stative	46
v:perception	n:act	12
v:perception	n:artifact	2
v:perception	n:attribute	20
v:perception	n:body	4
v:perception	n:cognition	11
v:perception	n:communication	6
v:perception	n:event	6
v:perception	n:time	1
v:perception	v:body	12
v:perception	v:change	18
v:perception	v:cognition	78
v:perception	v:communication	33
v:perception	v:consumption	2
v:perception	v:contact	2
v:perception	v:creation	18
v:perception	v:emotion	12
v:perception	v:motion	11
v:perception	v:perception	128
v:perception	v:possession	78
v:perception	v:social	20
v:perception	v:stative	19
v:perception	v:weather	1
v:possession	n:act	5
v:possession	n:attribute	1
v:possession	n:body	8
v:possession	n:communication	1
v:possession	n:object	1
v:possession	n:person	1
v:possession	n:possession	3
v:possession	n:process	1
v:possession	n:quantity	3
v:possession	v:body	5
v:possession	v:change	53
v:possession	v:cognition	25
v:possession	v:communication	43
v:possession	v:competition	5
v:possession	v:consumption	21
v:possession	v:contact	10
v:possession	v:creation	29
v:possession	v:motion	20
v:possession	v:perception	79
v:possession	v:possession	161
v:possession	v:social	20
v:possession	v:stative	90
v:social	n:act	54
v:social	n:artifact	7
v:social	n:attribute	10
v:social	n:body	2
v:social	n:cognition	13
v:social	n:communication	6
v:social	n:group	4
v:social	n:location	1
v:social	n:person	5
v:social	n:phenomenon	1
v:social	n:possession	1
v:social	n:quantity	2
v:social	n:state	1
v:social	v:body	8
v:social	v:change	52
v:social	v:cognition	24
v:social	v:communication	27
v:social	v:competition	6
v:social	v:consumption	3
v:social	v:contact	13
v:social	v:creation	75
v:social	v:emotion	2
v:social	v:motion	27
v:social	v:perception	18
v:social	v:possession	21
v:social	v:social	88
v:social	v:stative	66
v:stative	n:act	7
v:stative	n:artifact	4
v:stative	n:attribute	14
v:stative	n:body	6
v:stative	n:cognition	13
v:stative	n:communication	2
v:stative	n:event	3
v:stative	n:feeling	1
v:stative	n:group	1
v:stative	n:location	3
v:stative	n:object	4
v:stative	n:person	1
v:stative	n:phenomenon	15
v:stative	n:possession	8
v:stative	n:quantity	1
v:stative	n:shape	1
v:stative	n:state	1
v:stative	n:time	6
v:stative	v:body	3
v:stative	v:change	81
v:stative	v:cognition	29
v:stative	v:communication	37
v:stative	v:competition	5
v:stative	v:consumption	8
v:stative	v:contact	27
v:stative	v:creation	11
v:stative	v:emotion	2
v:stative	v:motion	51
v:stative	v:perception	23
v:stative	v:possession	81
v:stative	v:social	71
v:stative	v:stative	4090
v:weather	n:artifact	1
v:weather	n:phenomenon	3
v:weather	n:time	1
v:weather	v:stative	1
